,id,price,neighbourhood_group_cleansed,latitude,longitude,bathrooms,availability_30,beds,bedrooms,review_scores_value,bed_type,minimum_nights,maximum_nights,availability_365,property_type,is_business_travel_ready,cleaning_fee,room_type,square_feet,guests_included
12938,18970937,$45.00,Charlottenburg-Wilm.,52.504844474872655,13.313824016036072,2.0,0,2.0,2.0,9.0,Real Bed,4,150,139,Apartment,f,$40.00,Private room,,1
7386,10798129,$20.00,Pankow,52.53493802774991,13.42111553465763,1.0,0,1.0,1.0,10.0,Real Bed,4,1125,0,Apartment,f,,Private room,,1
11250,16825701,$50.00,Neukölln,52.48933783069367,13.433926711288395,1.0,0,2.0,1.0,8.0,Real Bed,7,29,0,Apartment,f,,Entire home/apt,,1
1844,2529429,$23.00,Mitte,52.522201838648,13.336461099591075,1.0,0,1.0,1.0,9.0,Real Bed,30,1000,0,Apartment,f,$15.00,Private room,,1
4278,6640822,$79.00,Pankow,52.53241374601716,13.43095348944973,1.0,0,2.0,1.0,10.0,Real Bed,4,1125,1,Apartment,f,$40.00,Entire home/apt,,2
3835,5883823,$45.00,Neukölln,52.486793463948146,13.430702918731608,1.0,0,2.0,1.0,10.0,Real Bed,2,1125,0,Apartment,f,$20.00,Private room,,1
3460,5256111,$29.00,Treptow - Köpenick,52.45736999439626,13.510903689776573,1.0,0,1.0,1.0,,Real Bed,1,1125,0,Apartment,f,,Private room,,1
10662,16090806,$35.00,Neukölln,52.475358153770564,13.424386828629864,1.0,0,1.0,1.0,10.0,Real Bed,1,24,0,Apartment,f,$10.00,Private room,,1
9421,14088997,$40.00,Friedrichshain-Kreuzberg,52.51829657009481,13.467325715072873,1.0,19,1.0,1.0,10.0,Real Bed,2,1125,353,Apartment,f,$20.00,Private room,,1
5025,7518928,$55.00,Tempelhof - Schöneberg,52.48441462765243,13.354877550618193,1.0,10,2.0,1.0,10.0,Real Bed,2,1125,169,Apartment,f,$35.00,Entire home/apt,,1
7331,10679486,$50.00,Friedrichshain-Kreuzberg,52.494757422988606,13.434236020327306,1.0,0,1.0,2.0,,Real Bed,1,1125,0,Apartment,f,,Entire home/apt,,1
5271,7723611,$70.00,Friedrichshain-Kreuzberg,52.48605373469083,13.384915996169473,1.0,0,1.0,2.0,,Real Bed,1,3,0,Apartment,f,,Entire home/apt,,1
275,261205,$60.00,Friedrichshain-Kreuzberg,52.50987723124175,13.4548698118701,1.0,6,1.0,1.0,,Real Bed,14,60,341,Apartment,f,$100.00,Entire home/apt,807.0,1
21127,28119914,$40.00,Pankow,52.53904300579784,13.446491038617472,1.0,0,1.0,1.0,9.0,Real Bed,1,21,0,Apartment,f,,Shared room,,1
2692,4059631,$49.00,Friedrichshain-Kreuzberg,52.49377921186921,13.382736230914679,1.0,0,1.0,0.0,9.0,Real Bed,30,90,184,Apartment,f,$50.00,Entire home/apt,,2
6322,9131711,$30.00,Mitte,52.51014493674518,13.408216593462008,1.0,2,1.0,1.0,10.0,Real Bed,2,1125,3,Apartment,f,$10.00,Private room,,1
13928,19965446,$50.00,Friedrichshain-Kreuzberg,52.51616476284358,13.436446068792732,1.0,0,1.0,1.0,,Real Bed,2,5,0,Apartment,f,,Entire home/apt,,1
14003,20041053,$21.00,Charlottenburg-Wilm.,52.525827455881355,13.311687452945607,1.0,0,2.0,1.0,,Real Bed,1,30,0,Apartment,f,$0.00,Private room,,1
10228,15334291,$70.00,Friedrichshain-Kreuzberg,52.50160139134403,13.37166252250048,1.0,10,2.0,2.0,,Real Bed,140,1125,345,Apartment,f,,Entire home/apt,,1
3075,4687797,$120.00,Friedrichshain-Kreuzberg,52.522828858141814,13.453568558334545,1.0,0,2.0,1.0,6.0,Real Bed,1,7,0,Apartment,f,,Entire home/apt,,1
10137,15156236,$45.00,Charlottenburg-Wilm.,52.498614004960444,13.336991765677213,1.0,0,2.0,0.0,9.0,Real Bed,90,600,320,Apartment,f,$100.00,Entire home/apt,,1
7899,11602156,$36.00,Pankow,52.54646741899415,13.453469911651707,1.0,29,1.0,1.0,10.0,Real Bed,14,150,179,Apartment,f,$20.00,Private room,,1
18855,24907176,$95.00,Friedrichshain-Kreuzberg,52.495148551550216,13.427312721372225,1.0,5,1.0,1.0,10.0,Real Bed,3,1125,118,Apartment,f,$40.00,Entire home/apt,,1
17183,22882684,$40.00,Neukölln,52.4912255348139,13.427253009601552,1.0,0,1.0,1.0,9.0,Real Bed,4,24,0,Apartment,f,$20.00,Entire home/apt,,2
15657,21470337,$44.00,Neukölln,52.48147928848649,13.428833600932146,1.0,26,2.0,1.0,9.0,Real Bed,2,1125,315,Apartment,f,$17.00,Private room,,1
9647,14338594,$45.00,Tempelhof - Schöneberg,52.483968865923785,13.359029475256575,1.0,0,1.0,1.0,10.0,Real Bed,1,1125,0,Apartment,f,,Entire home/apt,,1
8746,13178758,$79.00,Tempelhof - Schöneberg,52.45720232287465,13.378637101856597,1.0,7,2.0,0.0,10.0,Real Bed,30,180,67,Serviced apartment,f,,Entire home/apt,,1
20582,27461153,$40.00,Mitte,52.50345568565579,13.3684833024825,1.0,0,1.0,1.0,10.0,Real Bed,2,8,0,Apartment,f,$20.00,Private room,,1
